0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	1	1
52	1	2
53	0	2
54	0	2
55	1	3
56	0	3
57	1	4
58	1	5
59	2	7
60	7	14
61	8	22
62	4	26
63	4	30
64	9	39
65	11	50
66	13	63
67	15	78
68	22	100
69	25	125
70	32	157
71	39	196
72	60	256
73	75	331
74	86	417
75	98	515
76	119	634
77	183	817
78	193	1010
79	239	1249
80	293	1542
81	317	1859
82	413	2272
83	502	2774
84	551	3325
85	680	4005
86	825	4830
87	926	5756
88	1084	6840
89	1222	8062
90	1578	9640
91	1699	11339
92	1968	13307
93	2267	15574
94	2592	18166
95	3005	21171
96	3425	24596
97	3804	28400
98	4440	32840
99	4794	37634
100	5414	43048
101	6093	49141
102	6625	55766
103	7315	63081
104	8065	71146
105	8799	79945
106	9555	89500
107	10750	100250
108	11566	111816
109	12292	124108
110	13275	137383
111	14372	151755
112	15185	166940
113	16011	182951
114	17097	200048
115	17847	217895
116	18771	236666
117	19546	256212
118	20600	276812
119	21314	298126
120	22058	320184
121	22838	343022
122	23123	366145
123	23712	389857
124	24132	413989
125	24309	438298
126	24794	463092
127	25111	488203
128	24958	513161
129	24892	538053
130	24425	562478
131	24739	587217
132	24170	611387
133	23850	635237
134	23294	658531
135	22698	681229
136	21820	703049
137	21441	724490
138	20579	745069
139	19406	764475
140	18897	783372
141	17653	801025
142	16976	818001
143	15972	833973
144	15063	849036
145	14117	863153
146	13405	876558
147	12070	888628
148	11535	900163
149	10520	910683
150	9603	920286
151	8856	929142
152	8066	937208
153	7414	944622
154	6651	951273
155	6034	957307
156	5416	962723
157	4842	967565
158	4147	971712
159	3868	975580
160	3295	978875
161	2974	981849
162	2574	984423
163	2332	986755
164	1985	988740
165	1671	990411
166	1469	991880
167	1311	993191
168	1126	994317
169	938	995255
170	813	996068
171	666	996734
172	582	997316
173	473	997789
174	396	998185
175	333	998518
176	254	998772
177	238	999010
178	194	999204
179	159	999363
180	133	999496
181	92	999588
182	66	999654
183	72	999726
184	68	999794
185	42	999836
186	31	999867
187	23	999890
188	23	999913
189	20	999933
190	17	999950
191	15	999965
192	9	999974
193	8	999982
194	5	999987
195	3	999990
196	3	999993
197	3	999996
198	2	999998
199	1	999999
200	0	999999
201	0	999999
202	0	999999
203	0	999999
204	1	1000000
205	0	1000000
206	0	1000000
207	0	1000000
208	0	1000000
209	0	1000000
210	0	1000000
211	0	1000000
212	0	1000000
213	0	1000000
214	0	1000000
215	0	1000000
216	0	1000000
217	0	1000000
218	0	1000000
219	0	1000000
220	0	1000000
221	0	1000000
222	0	1000000
223	0	1000000
224	0	1000000
225	0	1000000
226	0	1000000
227	0	1000000
228	0	1000000
229	0	1000000
230	0	1000000
231	0	1000000
232	0	1000000
233	0	1000000
234	0	1000000
235	0	1000000
236	0	1000000
237	0	1000000
238	0	1000000
239	0	1000000
240	0	1000000
241	0	1000000
242	0	1000000
243	0	1000000
244	0	1000000
245	0	1000000
246	0	1000000
247	0	1000000
248	0	1000000
249	0	1000000
250	0	1000000
251	0	1000000
252	0	1000000
253	0	1000000
254	0	1000000
255	0	1000000
